cars_name,car_price,purchase_date,brand_name
Chevrolet Silverado,35000,11/15/2024,Chevrolet
Audi A4,35000,5/8/2024,Tesla
Audi A4,24000,1/31/2024,BMW
Hyundai Elantra,21000,5/24/2024,Audi
Mercedes C-Class,45000,2/28/2024,Nissan
Mercedes C-Class,45000,12/1/2024,Hyundai
Audi A4,47000,5/23/2024,Chevrolet
Mercedes C-Class,45000,10/25/2024,BMW
Hyundai Elantra,25000,10/13/2024,Audi
Audi A4,47000,5/17/2024,Audi
Honda Civic,42000,9/15/2024,Nissan
Mercedes C-Class,45000,1/10/2025,Chevrolet
Tesla Model 3,35000,8/25/2024,Nissan
Honda Civic,42000,4/29/2024,Tesla
Toyota Camry,21000,1/27/2025,Nissan
BMW 3 Series,45000,8/5/2024,Chevrolet
Mercedes C-Class,38000,4/12/2024,Ford
Chevrolet Silverado,47000,6/17/2024,Mercedes
Hyundai Elantra,47000,6/14/2024,Audi
Nissan Altima,38000,2/16/2024,Hyundai
Tesla Model 3,50000,2/5/2024,Mercedes
Mercedes C-Class,22000,9/14/2024,Audi
Toyota Camry,45000,5/2/2024,BMW
Chevrolet Silverado,38000,6/14/2024,Chevrolet
Ford F-150,25000,5/19/2024,Hyundai
Nissan Altima,50000,12/4/2024,Ford
Audi A4,22000,2/29/2024,Ford
Hyundai Elantra,38000,2/24/2024,Toyota
BMW 3 Series,24000,7/1/2024,Ford
Toyota Camry,24000,7/25/2024,Audi
Mercedes C-Class,22000,6/22/2024,Nissan
Hyundai Elantra,47000,4/21/2024,BMW
Nissan Altima,24000,6/25/2024,Ford
Hyundai Elantra,22000,6/11/2024,BMW
Toyota Camry,42000,7/9/2024,Honda
Honda Civic,45000,3/9/2024,Tesla
Audi A4,50000,11/24/2024,Hyundai
Hyundai Elantra,35000,11/26/2024,Nissan
BMW 3 Series,42000,11/22/2024,Audi
Tesla Model 3,21000,8/10/2024,Ford
Ford F-150,25000,3/14/2024,Mercedes
Honda Civic,24000,10/25/2024,Hyundai
BMW 3 Series,45000,7/12/2024,Honda
Honda Civic,45000,10/16/2024,Tesla
Tesla Model 3,22000,10/23/2024,Mercedes
Toyota Camry,35000,11/7/2024,Toyota
BMW 3 Series,42000,4/28/2024,Audi
Hyundai Elantra,25000,12/31/2024,Hyundai
Ford F-150,38000,12/26/2024,Honda
Nissan Altima,38000,10/19/2024,Nissan
Ford F-150,25000,6/25/2024,Audi
Audi A4,42000,1/6/2025,Chevrolet
Honda Civic,22000,5/26/2024,Ford
Nissan Altima,22000,9/27/2024,BMW
Tesla Model 3,42000,10/10/2024,Chevrolet
Hyundai Elantra,21000,11/29/2024,BMW
Toyota Camry,35000,4/22/2024,Honda
Nissan Altima,38000,6/24/2024,Audi
Nissan Altima,38000,4/14/2024,Ford
Tesla Model 3,22000,3/24/2024,Nissan
Toyota Camry,50000,8/14/2024,Hyundai
Ford F-150,21000,4/23/2024,Tesla
Nissan Altima,45000,9/26/2024,BMW
Hyundai Elantra,47000,2/27/2024,Tesla
Tesla Model 3,38000,8/20/2024,Chevrolet
Tesla Model 3,24000,10/16/2024,Honda
Ford F-150,35000,6/12/2024,Nissan
Audi A4,24000,7/2/2024,Mercedes
Tesla Model 3,42000,7/5/2024,Nissan
BMW 3 Series,21000,10/18/2024,Audi
Honda Civic,25000,10/18/2024,Nissan
Audi A4,42000,2/13/2024,Chevrolet
Chevrolet Silverado,50000,4/1/2024,Honda
BMW 3 Series,22000,11/22/2024,BMW
Chevrolet Silverado,45000,10/22/2024,Audi
Ford F-150,50000,6/10/2024,Tesla
Ford F-150,35000,2/13/2024,Mercedes
Chevrolet Silverado,47000,5/17/2024,Nissan
Mercedes C-Class,42000,4/16/2024,Ford
Toyota Camry,42000,10/3/2024,Tesla
BMW 3 Series,38000,5/30/2024,Nissan
Mercedes C-Class,50000,5/13/2024,BMW
Chevrolet Silverado,25000,12/5/2024,Honda
Ford F-150,47000,5/22/2024,Honda
Nissan Altima,38000,6/2/2024,Tesla
Nissan Altima,47000,6/13/2024,BMW
